NATION;Containers full 20';Containers full 40';Containers empty 20';Containers empty 40';TEUS;Containerised Cargo;Conventional Cargo;Solid Bulk;Liquid Bulk;TOTAL
Algeria;3265;5716;372;1;15071;174150,68;5571,03;10521;159737;349979,71
Angola;0;0;0;0;0;0;1052,61;0;0;1052,61
Argentina;3361;5701;1;92;14948;162087,08;1172,07;0;0;163259,15
Australia;7975;7226;0;29;22485;210523,73;67;0;0;210590,73
Bahrain;26;22;0;0;70;827,55;0;0;0;827,55
Bangladesh;0;0;0;0;0;0;330,76;0;0;330,76
Belgium;0;0;0;0;0;0;184;8339;4200;12723
Benin;92;99;0;0;290;3630,13;1717,26;0;0;5347,39
Bermuda;1;13;0;0;27;284,61;0;0;0;284,61
Brazil;12360;24486;17;1252;63853;694635,53;3850,94;0;0;698486,47
Cameroon;391;331;0;0;1053;15738,52;926,58;0;0;16665,1
Canada;5130;14543;0;106;34428;386986,44;0;0;0;386986,44
Chile;0;0;0;0;0;0;405,32;0;0;405,32
China;16795;35625;9560;10449;118503;1155586,39;9679,29;0;0;1165265,68
Colombia;4526;4764;0;11;14076;165799,45;2135,65;0;0;167935,1
Congo;0;0;0;0;0;0;3019,64;0;0;3019,64
Costa Rica;205;214;9;632;1906;9936,28;0;0;0;9936,28
Cuba;790;938;0;26;2718;30863,54;0;0;0;30863,54
Cyprus;224;162;2;0;550;5257,3;0;0;0;5257,3
Denmark;0;0;0;0;0;0;187,24;0;0;187,24
Djibouti;1444;1754;2;0;4954;53029,05;12800,62;0;0;65829,67
Dominican Republic;423;311;16;49;1159;12828,4;238,25;0;0;13066,65
Ecuador;1;0;0;0;1;15,92;0;0;0;15,92
Egypt;8296;12674;285;559;35047;406389,36;9572,21;0;39775;455736,57
Eritrea;9;5;0;0;19;218,41;0;0;0;218,41
Finland;0;0;0;0;0;0;0;0;4353;4353
France;1570;2303;4685;772;12405;82679,54;32633,99;84581;75971;275865,53
Gabon;0;0;0;0;0;0;2057,58;0;0;2057,58
Gambia;0;0;0;0;0;0;75;0;0;75
Germany;713;1102;9;149;3224;42654,91;284,3;6583;27903;77425,21
Ghana;667;1140;4;0;2951;30122,84;7228,51;0;0;37351,35
Gibilterra;0;0;0;0;0;0;0;0;12573;12573
Gr. Britain;53;59;0;1;173;2649,88;410,5;17704;0;20764,38
Greece;1064;677;27;26;2497;39167,12;0;9174;30018;78359,12
Guadaloupe;808;591;0;0;1990;25612,83;0;0;0;25612,83
Guatemala;0;0;0;0;0;0;5191,55;0;0;5191,55
Guinea;30;12;0;0;54;811,08;1012,47;0;0;1823,55
India;3180;4142;5;1;11471;131993,5;8659,88;0;0;140653,38
Indonesia;0;0;0;0;0;0;3461,67;0;0;3461,67
Iran;2717;4184;0;0;11085;138984,92;103,1;0;0;139088,02
Iraq;125;226;0;0;577;6376,71;0;0;0;6376,71
Israel;5107;6052;100;92;17495;182687,56;44;1994;3150;187875,56
Italy;7690;8838;1026;624;27640;330004,07;2931034,01;38919;1048051;4348008,08
Ivory coast;1097;2867;2;53;6939;74289,84;6083,68;0;0;80373,52
Jamaica;1354;3355;73;0;8137;95445,51;0;0;0;95445,51
Jordan;2684;1611;10;0;5916;81900,04;2740,6;0;0;84640,64
Kenya;2083;579;0;4;3249;57986,58;4149,41;0;0;62135,99
Kuwait;74;145;0;0;364;3982,45;3015,43;0;0;6997,88
Lebanon;1601;965;1;9;3550;45614,48;330,97;0;33002;78947,45
Liberia;0;0;0;0;0;0;64,3;0;0;64,3
Libya;4072;3875;13;14;11863;148420,82;86709,27;0;0;235130,09
Malaysia;7532;7055;291;289;22511;281260,59;291,1;0;0;281551,69
Malta;2693;2704;101;206;8614;113055,65;1977,06;0;93207;208239,71
Martinique;638;721;0;0;2080;23453,53;0;0;0;23453,53
Mexico;2776;6280;7;29;15401;162112,9;4089,33;0;0;166202,23
Morocco;3756;4344;0;4;12452;150240,14;80796,22;0;0;231036,36
Mozambique;206;334;0;34;942;9587,67;697,08;0;0;10284,75
Myanmar;0;17;0;0;34;322,66;105;0;0;427,66
Netherlands;40;137;33;334;1015;5236,21;654,5;7246;82912;96048,71
New Zealand;2;0;0;0;2;42,2;0;0;0;42,2
Nigeria;2511;3384;0;30;9339;109277,22;30124,76;0;0;139401,98
Not specified;91;84;3055;1185;5684;13963,4;64559,73;0;0;78523,13
Oman;561;433;0;6;1439;18062,84;0;0;34952;53014,84
Pakistan;605;541;0;0;1687;20571,53;0;0;0;20571,53
Panama;954;1428;4;2;3818;38577,63;0;0;0;38577,63
Paraguay;0;0;0;0;0;0;12;0;0;12
Peru;1;0;0;0;1;12,13;0;0;0;12,13
Philippines;0;0;0;0;0;0;252,69;0;0;252,69
Portugal;71;120;45;121;598;4293,17;0;42213;2100;48606,17
Qatar;138;314;0;0;766;7728,3;173;0;0;7901,3
Russia;1;0;0;0;1;6,5;707,03;0;0;713,53
Saudi Arabia;7205;10829;28;13;28917;347873,03;39518,82;0;68940;456331,85
Senegal;1396;2204;1;25;5855;64427,32;7569,47;0;0;71996,79
Seychelles;0;0;0;0;0;0;130;0;0;130
Sierra leone;0;0;0;0;0;0;221,75;0;0;221,75
Singapore;22356;23632;814;1396;73226;925393,8;3464,73;0;2625;931483,53
Somalia;42;3;0;0;48;426,88;0;0;0;426,88
South Africa;1125;1545;3;0;4218;46713,2;4081,48;0;0;50794,68
South Korea;6373;8924;507;738;26204;284742,09;0;0;0;284742,09
Spain;15270;21592;9188;2350;72342;759377,29;46770,18;128206;136431;1070784,47
Sri Lanka;0;0;0;0;0;0;100;0;0;100
Sudan;134;112;0;0;358;3902,49;2014,39;0;0;5916,88
Sweden;0;0;0;0;0;0;0;0;27129;27129
Syria;0;2;0;0;4;38;0;0;0;38
Taiwan;2289;1743;21;32;5860;74309,01;0;0;0;74309,01
Tanzania;505;269;0;0;1043;15421,95;1772,23;0;0;17194,18
Thailand;0;0;0;0;0;0;1605;0;0;1605
Togo;238;612;0;0;1462;15758,28;9399,04;0;0;25157,32
Tunisia;5064;4229;181;20;13743;192001,47;635493,53;0;122160;949655
Turkey;5810;11543;130;132;29290;340140,7;1699,79;17649;55124;414613,49
United Arab Emirates;15186;23292;284;22;62098;736283,8;21027,79;0;30987;788298,59
United States of America;19758;51595;12;76;123112;1398667,15;5779,87;4941;0;1409388,02
Uruguay;837;1182;9;163;3536;34671,68;458,73;0;0;35130,41
Venezuela;387;711;0;0;1809;14830,45;2119,12;0;0;16949,57
Vietnam;0;0;0;0;0;0;241;0;0;241
Yemen;62;154;0;0;370;4165,2;0;0;0;4165,2
Zaire;0;0;0;0;0;0;191,03;0;0;191,03
