"object"	"Containerised cargo"	"Conventional cargo"	"Solid bulk"	"Mineral oil"	"Vegetal oil and wine"	"Chemicals"	"Industrial solid bulk"	"Steel products"	"Bunkers and supplies"	"Containers"	"Ship arrivals"	"Gross tonnage (arrivals)"	"Ship departures"	"Gross tonnage (departures)"	"Ferries"	"Cruises"
"unit"	"ton"	"ton"	"ton"	"ton"	"ton"	"ton"	"ton"	"ton"	"ton"	"teu"	"ship"	"gt"	"ship"	"gt"	"person"	"person"
"Jan 2012"	1492821	514116	52679	1800785	30790	35434	4399	292804	104562	150330	467	14267440	456	13986112	73544	40900
"Feb 2012"	1669217	633648	85912	952971	36659	35493	8639	291605	88937	166695	450	13162533	456	13318972	38564	34736
"Mar 2012"	1857520	723075	54998	1316075	20538	59622	7592	346497	93668	178241	531	14621430	531	14604769	63080	35336
"Apr 2012"	1843670	662049	77640	913996	37541	32674	19543	319928	91250	177567	575	16425600	536	15875391	98658	78472
"May 2012"	1868586	768764	58613	1562179	31588	37814	25434	288590	99911	182103	586	16528308	633	17064248	106576	56065
"Jun 2012"	1883585	761974	45462	1525258	22192	44731	15812	268012	115432	188881	620	17882962	629	18126546	214199	74699
"Jul 2012"	1850103	759726	68157	1131343	35059	33604	21660	214378	101066	184923	668	19038655	660	19007369	368129	90377
"Aug 2012"	1583854	653124	121527	1639321	16332	48884	11154	264712	116644	160873	664	19357122	647	19280800	505086	83179
"Sep 2012"	1572424	713016	70864	1194125	20397	49771	14711	238298	91846	154086	592	17403722	591	17262387	264762	93257
"Oct 2012"	1756936	733994	57218	1609191	25229	55963	16596	294555	98792	182028	548	16223550	533	16183932	108931	84270
"Nov 2012"	1671073	675775	92582	1353127	32631	34240	22496	226770	99794	175626	481	15113845	451	14707110	55715	77420
"Dec 2012"	1567707	620941	53080	1364751	21198	37490	5196	112047	82491	163453	437	14098558	477	14078390	77479	48528
"Jan 2013"	1563254	586003	42343	1319217	19914	47140	5150	277033	79655	156070	424	12824541	404	12464598	64597	36586
"Feb 2013"	1553100	602916	48022	1330340	20501	33336	0	165439	76016	155969	406	14760261	493	14988276	37220	32072
"Mar 2013"	1650627	688888	92233	1554176	17219	50301	15530	262333	85207	169792	497	15000000	500	15000000	57735	72746
"Apr 2013"	1744846	635592	97248	1306864	28968	33668	0	281806	86165	175196	500	15360000	512	15360000	77018	85846
"May 2013"	1665031	731203	52962	1237524	19114	42917	7630	265962	99269	167016	512	16260000	542	16260000	92533	120416
"Jun 2013"	1653491	723703	56223	1066695	5910	50641	5100	263606	85956	169005	542	19110000	637	19110000	192038	106281
"Jul 2013"	1810430	808024	16481	1483397	39311	29410	15800	369422	99156	188519	637	18750000	625	18750000	347362	111608
"Aug 2013"	1414102	678395	104087	1511299	17537	47687	13300	176539	89326	153145	625	15960000	532	15960000	500315	124258
"Sep 2013"	1561023	761910	79013	990185	31411	42339	7905	180047	85445	159128	532	15660000	522	15660000	255417	116023
"Oct 2013"	1681771	732540	131709	1507727	39758	39298	7900	344246	80929	170034	522	15660000	522	15660000	102329	127249
"Nov 2013"	1477262	695782	28431	1331682	29233	46253	7600	248713	70528	155552	426	12780000	426	12780000	51041	72266
"Dec 2013"	1636553	621786	75031	1402809	26270	31389	7900	256526	79225	168587	446	13380000	446	13380000	71503	44734
"Jan 2014"	1580439	614389	91551	1358751	19498	43913	7900	234337	80649	157089	432	12960000	432	12960000	56796	36638
"Feb 2014"	1628476	609060	53751	1260201	29679	43011	7900	258294	66531	166009	404	12120000	404	12120000	36310	38038
"Mar 2014"	1763842	702382	52096	1257649	29973	52590	7900	237134	76203	178448	458	13740000	458	13740000	51676	40373
"Apr 2014"	1790125	672853	66305	1127394	43337	38002	21570	187987	75857	176947	470	14100000	470	14100000	91049	93897
"May 2014"	1886390	767901	53692	1572802	23627	48896	24595	271391	77946	185803	515	15450000	515	15450000	96082	77531
"Jun 2014"	1956663	749609	12278	1090573	23250	40741	22925	230109	84549	195852	560	16800000	560	16800000	208032	73909
"Jul 2014"	2015121	827092	52263	1236124	49916	50715	14440	212766	87683	204516	618	18540000	618	18540000	360869	78510
"Aug 2014"	1565273	699657	144105	1509676	32903	33822	7900	165957	86647	163416	579	17370000	579	17370000	513333	88529
"Sep 2014"	1851068	799686	23711	1460024	16287	52264	14690	226765	87702	186614	549	16470000	549	16470000	270440	71908
"Oct 2014"	2008147	772055	92498	1613298	39915	43012	7900	252201	82229	197309	498	14940000	498	14940000	110971	87741
"Nov 2014"	1861990	716425	119189	1132471	23411	27880	14400	240556	73012	185506	454	13620000	454	13620000	49229	92305
"Dec 2014"	1727758	661796	90392	1460286	24629	34916	0	265159	86339	175435	463	13890000	463	13890000	76072	44730
"Jan 2015"	1631199	621426	73369	1465240	16420	40276	294	269158	6234	163573	429	12870000	429	12870000	65798	42358
"Feb 2015"	1771672	647128	81185	1187663	42685	40968	0	83947	67681	181557	394	11820000	394	11820000	34313	34646
"Mar 2015"	1940877	772710	130273	1391168	16214	37077	0	226259	85957	197068	486	14580000	486	14580000	49110	58861
