id	port	nation	quantity	lon	lat
1	Taranto	Italy	3360640	17.2997	40.4618
2	Barcelona	Spain	1753263	2.1889	41.3996
3	"Zawia Terminal"	Libya	1737428	12.7224	32.7706
4	Cagliari	Italy	1658152	9.096	39.2204
5	Palermo	Italy	1563994	13.3473	38.1373
6	Ceyhan	Turkey	1555404	35.8331	37.0562
7	"Porto Torres"	Italy	1552577	8.3958	40.829
8	Shanghai	China	1498882	121.4915	31.2246
9	Singapore	Singapore	1479094	103.8528	1.2906
10	"Es Sider"	Libya	1433995	18.3657	30.6368
11	"Sidi Kerir Terminal"	Egypt	1429967	29.6734	31.0516
12	Aberdeen	Scotland	1324122	-2.0914	57.1452
13	Tunis	Tunisia	1259963	10.1848	36.8001
14	"Ras Lanuf"	Libya	1191345	18.4173	30.5869
15	Novorossiysk	Russia	1167996	37.7874	44.7108
16	"Hong Kong"	China	809437	114.1229	22.3434
17	Abidjan	"Ivory Coast"	725623	1.87	9.77
18	Catania	Italy	708498	15.0306	37.4603
19	Batumi	Georgia	649809	41.6568	41.6658
20	"New York"	"United States of America"	622197	-73.9796	40.6979
21	Yuzhnyy	Ukraine	605661	31.1114	46.6255
22	Malta	Malta	605539	14.5244	35.918
23	Melitah	Libya	556063	12.2303	32.8639
24	"Abu Kammash"	Libya	547492	11.7363	33.0738
25	"Moudi Terminal"	Cameroon	546996	8.4488	4.3611
26	Houston	"United States of America"	504703	-94.9171	29.7232
27	Livorno	Italy	495237	10.3073	43.5457
28	"Khor al Fakkan"	"United Arab Emirates"	49042	56.3709	25.3584
29	Olbia	Italy	475055	9.5397	40.9206
30	"Termini Imerese"	Italy	440802	13.7101	37.9872
31	"Santa Panagia"	Italy	436089	15.2797	37.1086
32	Alexandria	Egypt	410407	29.8944	31.199
33	Koper	Slovenia	408384	13.7305	45.548
34	Jeddah	"Saudi Arabia"	408296	39.164	21.5822
35	Augusta	Italy	407905	15.2059	37.224
36	Tuapse	Russia	398235	39.0721	44.0986
37	Fos-sur-Mer	France	395898	4.9456	43.4381
38	Odessa	Ukraine	383352	30.7296	46.4713
39	"Gioia Tauro"	Italy	373191	15.9207	38.4271
40	"Port Kelang"	Malaysia	359972	101.3006	2.941
41	Ningbo	China	359228	121.5499	29.872
42	Santos	Brazil	349517	-46.29	-23.8643
43	Milazzo	Italy	343682	15.2734	38.2144
44	"Busan (Pusan)"	"South Korea"	325784	129.0176	35.0803
45	Tripoli	Libya	296671	13.18	32.8925
46	Montreal	Canada	289437	-73.6554	45.5027
47	Kaohsiung	Taiwan	270769	120.2893	22.6015
48	Algeciras	Spain	263824	-5.4278	36.1386
49	"Port Said"	Egypt	25134	32.3192	31.2567
50	Shekou	China	246335	113.9161	22.4715
51	Valencia	Spain	245948	-0.3525	39.4228
52	Maracaibo	Venezuela	234891	-71.6017	10.6763
53	"Casablanca "	Morocco	212036	-5.4973	35.8935
54	Durban	"South Africa"	203951	31.0204	-29.8669
55	Poti	Gerogia	192318	41.6802	42.1544
56	"Buenos Aires"	Argentina	190581	-58.446	-34.6129
57	Tincan	Nigeria	18776	3.3492	6.4343
58	"Tanjong Pelepas"	Malaysia	186153	103.5457	1.357
59	Tema	Ghana	183504	0.0078	5.6403
60	"Jawaharlal Neru (Nhava Sheva)"	India	181994	72.9644	18.9629
61	Alger	Algeria	180311	3.0601	36.7753
