"id"	"port"	"nation"	"quantity"
1	"Shanghai"	"China"	"120320"
2	"Singapore"	"Singapore"	"107024"
3	"Hong Kong"	"China"	"59804"
4	"Jeddah"	"Saudi Arabia"	"56922"
5	"Jebel Ali"	"United Arab Emirates"	"49906"
6	"Ningbo"	"China"	"49129"
7	"Santos"	"Brazil"	"47616"
8	"Busan (Pusan)"	"South Korea"	"43513"
9	"Algeciras"	"Spain"	"42804"
10	"Malta"	"Malta"	"38968"
11	"New York"	"United States of America"	"38859"
12	"Montreal"	"Canada"	"37137"
13	"Savannah"	"United States of America"	"33765"
14	"Alexandria"	"Egypt"	"33379"
15	"Gioia Tauro"	"Italy"	"31700"
16	"Newark"	"United States of America"	"30849"
17	"Port Kelang"	"Malaysia"	"30235"
18	"Shekou"	"China"	"27373"
19	"Rio de Janeiro"	"Brazil"	"26662"
20	"Valencia"	"Spain"	"26095"
21	"Khor al Fakkan"	"United Arab Emirates"	"25825"
22	"Jawaharlal Neru (Nhava Sheva)"	"India"	"25071"
23	"Damietta"	"Egypt"	"24867"
24	"Yantian Huangdong"	"China"	"24837"
25	"Kaohsiung"	"Taiwan"	"22898"
26	"Qingdao"	"China"	"21943"
27	"Buenos Aires"	"Argentina"	"21641"
28	"Haifa"	"Israel"	"21492"
29	"Livorno"	"Italy"	"21163"
30	"Norfolk"	"United States of America"	"20938"
31	"Napoli"	"Italy"	"20544"
32	"Alger"	"Algeria"	"20372"
33	"Houston"	"United States of America"	"19133"
34	"Tunis"	"Tunisia"	"18812"
35	"Istanbul"	"Turkey"	"18362"
36	"Las Palmas"	"Spain"	"18355"
37	"Cartagena"	"Colombia"	"17281"
38	"Cagliari"	"Italy"	"17233"
39	"Barcelona"	"Spain"	"17140"
40	"Ashdod"	"Israel"	"15784"
41	"Gemlik"	"Turkey"	"15591"
42	"Tanjong Pelepas"	"Malaysia"	"14266"
43	"Rades"	"Tunisia"	"14080"
44	"Kingston"	"Jamaica"	"13572"
45	"Tripoli"	"Libya"	"13571"
46	"Xiamen"	"China"	"13449"
47	"Port Everglades"	"United States of America"	"13242"
48	"Veracruz"	"Mexico"	"13113"
49	"Melbourne"	"Australia"	"11749"
50	"Djibouti"	"Djibouti"	"11318"
51	"Piraeus"	"Greece"	"11191"
52	"Dakar"	"Senegal"	"11042"
53	"Salerno"	"Italy"	"10379"
54	"Bandar Abbas"	"Iran"	"10376"
55	"Mombasa"	"Kenia"	"10368"
56	"Tincan"	"Nigeria"	"10137"
57	"Los Angeles"	"United States of America"	"10086"
58	"Tangier Med"	"Marocco"	"9954"
59	"Caucedo"	"Dominican Republic"	"9795"
60	"Marseille"	"France"	"9745"
61	"Port Said"	"Egypt"	"9613"
